SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Sinusoid,1-Stretch,23.630,29.786,0.574,0.829
Sinusoid,1-Stretch,23.830,29.793,0.581,0.780
Sinusoid,1-Stretch,24.030,29.801,0.589,0.854
Sinusoid,1-Stretch,24.230,29.809,0.597,0.805
Sinusoid,1-Stretch,24.430,29.816,0.604,0.854
Sinusoid,1-Stretch,24.630,29.823,0.611,0.902
Sinusoid,1-Stretch,24.830,29.831,0.619,0.854
Sinusoid,1-Stretch,25.030,29.838,0.626,0.854
Sinusoid,1-Stretch,25.230,29.846,0.634,0.854
Sinusoid,1-Stretch,25.430,29.852,0.64,0.854
Sinusoid,1-Stretch,25.630,29.861,0.649,0.854
Sinusoid,1-Stretch,25.830,29.867,0.655,0.854
Sinusoid,1-Stretch,26.030,29.874,0.662,0.878
Sinusoid,1-Stretch,26.230,29.881,0.669,0.878
Sinusoid,1-Stretch,26.430,29.888,0.676,0.902
Sinusoid,1-Stretch,26.630,29.894,0.682,0.927
Sinusoid,1-Stretch,26.830,29.901,0.689,0.854
Sinusoid,1-Stretch,27.030,29.908,0.696,0.927
Sinusoid,1-Stretch,27.230,29.915,0.703,0.927
Sinusoid,1-Stretch,27.430,29.921,0.709,0.878
Sinusoid,1-Stretch,27.630,29.928,0.716,0.976
Sinusoid,1-Stretch,27.830,29.935,0.723,0.951
Sinusoid,1-Stretch,28.030,29.941,0.729,0.976
Sinusoid,1-Stretch,28.230,29.948,0.736,1.049
Sinusoid,1-Stretch,28.430,29.955,0.743,1.049
Sinusoid,1-Stretch,28.630,29.961,0.749,1.049
Sinusoid,1-Stretch,28.830,29.968,0.756,1.049
Sinusoid,1-Stretch,29.030,29.975,0.763,1.049
Sinusoid,1-Stretch,29.230,29.981,0.769,1.049
Sinusoid,1-Stretch,29.430,29.987,0.775,1.049
Sinusoid,1-Stretch,29.630,29.995,0.783,1.049
Sinusoid,1-Stretch,29.830,30,0.788,1.073
Sinusoid,1-Stretch,30.030,30.006,0.794,1.073
Sinusoid,1-Stretch,30.230,30.011,0.799,1.098
Sinusoid,1-Stretch,30.430,30.016,0.804,1.122
Sinusoid,1-Stretch,30.630,30.021,0.809,1.073
Sinusoid,1-Stretch,30.830,30.027,0.815,1.147
Sinusoid,1-Stretch,31.030,30.032,0.82,1.073
Sinusoid,1-Stretch,31.230,30.037,0.825,1.098
Sinusoid,1-Stretch,31.430,30.043,0.831,1.147
Sinusoid,1-Stretch,31.630,30.048,0.836,1.049
Sinusoid,1-Stretch,31.830,30.053,0.841,1.147
Sinusoid,1-Stretch,32.030,30.059,0.847,1.147
Sinusoid,1-Stretch,32.230,30.064,0.852,1.196
Sinusoid,1-Stretch,32.430,30.069,0.857,1.220
Sinusoid,1-Stretch,32.630,30.075,0.863,1.244
Sinusoid,1-Stretch,32.830,30.08,0.868,1.244
Sinusoid,1-Stretch,33.030,30.085,0.873,1.220
Sinusoid,1-Stretch,33.230,30.09,0.878,1.244
Sinusoid,1-Stretch,33.430,30.095,0.883,1.244
Sinusoid,1-Stretch,33.630,30.101,0.889,1.220
Sinusoid,1-Stretch,33.830,30.104,0.892,1.244
Sinusoid,1-Stretch,34.030,30.108,0.896,1.244
Sinusoid,1-Stretch,34.230,30.111,0.899,1.220
Sinusoid,1-Stretch,34.430,30.114,0.902,1.244
Sinusoid,1-Stretch,34.630,30.118,0.906,1.244
Sinusoid,1-Stretch,34.830,30.122,0.91,1.244
Sinusoid,1-Stretch,35.030,30.125,0.913,1.269
Sinusoid,1-Stretch,35.230,30.128,0.916,1.244
Sinusoid,1-Stretch,35.430,30.132,0.92,1.244
Sinusoid,1-Stretch,35.630,30.135,0.923,1.293
Sinusoid,1-Stretch,35.830,30.139,0.927,1.244
Sinusoid,1-Stretch,36.030,30.142,0.93,1.293
Sinusoid,1-Stretch,36.230,30.146,0.934,1.318
Sinusoid,1-Stretch,36.430,30.149,0.937,1.244
Sinusoid,1-Stretch,36.630,30.152,0.94,1.318
Sinusoid,1-Stretch,36.830,30.156,0.944,1.269
Sinusoid,1-Stretch,37.030,30.159,0.947,1.244
Sinusoid,1-Stretch,37.230,30.163,0.951,1.342
Sinusoid,1-Stretch,37.430,30.165,0.953,1.244
Sinusoid,1-Stretch,37.630,30.17,0.958,1.293
Sinusoid,1-Stretch,37.830,30.171,0.959,1.293
Sinusoid,1-Stretch,38.030,30.172,0.96,1.244
Sinusoid,1-Stretch,38.230,30.173,0.961,1.293
Sinusoid,1-Stretch,38.430,30.175,0.963,1.293
Sinusoid,1-Stretch,38.630,30.176,0.964,1.269
Sinusoid,1-Stretch,38.830,30.177,0.965,1.318
Sinusoid,1-Stretch,39.030,30.178,0.966,1.244
Sinusoid,1-Stretch,39.230,30.179,0.967,1.293
Sinusoid,1-Stretch,39.430,30.18,0.968,1.293
Sinusoid,1-Stretch,39.630,30.181,0.969,1.244
Sinusoid,1-Stretch,39.830,30.182,0.97,1.293
Sinusoid,1-Stretch,40.030,30.184,0.972,1.269
Sinusoid,1-Stretch,40.230,30.185,0.973,1.293
Sinusoid,1-Stretch,40.430,30.186,0.974,1.318
Sinusoid,1-Stretch,40.630,30.187,0.975,1.244
Sinusoid,1-Stretch,40.830,30.188,0.976,1.293
Sinusoid,1-Stretch,41.030,30.19,0.978,1.293
Sinusoid,1-Stretch,41.230,30.191,0.979,1.293
Sinusoid,1-Stretch,41.430,30.191,0.979,1.318
Sinusoid,1-Recover,41.460,30.191,0.979,1.318
Sinusoid,1-Recover,41.660,30.183,0.971,1.342
Sinusoid,1-Recover,41.860,30.178,0.966,1.244
Sinusoid,1-Recover,42.060,30.174,0.962,1.318
Sinusoid,1-Recover,42.260,30.169,0.957,1.244
Sinusoid,1-Recover,42.460,30.165,0.953,1.269
Sinusoid,1-Recover,42.660,30.149,0.937,1.318
Sinusoid,1-Recover,42.860,30.135,0.923,1.244
Sinusoid,1-Recover,43.060,30.12,0.908,1.244
Sinusoid,1-Recover,43.260,30.106,0.894,1.244
Sinusoid,1-Recover,43.460,30.095,0.883,1.244
Sinusoid,1-Recover,43.660,30.072,0.86,1.244
Sinusoid,1-Recover,43.860,30.05,0.838,1.073
Sinusoid,1-Recover,44.060,30.027,0.815,1.073
Sinusoid,1-Recover,44.260,30.006,0.794,1.073
Sinusoid,1-Recover,44.460,29.987,0.775,1.049
Sinusoid,1-Recover,44.660,29.959,0.747,1.049
Sinusoid,1-Recover,44.860,29.931,0.719,0.951
Sinusoid,1-Recover,45.060,29.903,0.691,0.854
Sinusoid,1-Recover,45.260,29.875,0.663,0.878
Sinusoid,1-Recover,45.460,29.852,0.64,0.878
Sinusoid,1-Recover,45.660,29.821,0.609,0.878
Sinusoid,1-Recover,45.860,29.79,0.578,0.829
Sinusoid,1-Recover,46.060,29.759,0.547,0.829
Sinusoid,1-Recover,46.260,29.728,0.516,0.780
Sinusoid,1-Recover,46.460,29.702,0.49,0.731
Sinusoid,1-Recover,46.660,29.673,0.461,0.658
Sinusoid,1-Recover,46.860,29.642,0.43,0.658
Sinusoid,1-Recover,47.060,29.61,0.398,0.609
Sinusoid,1-Recover,47.260,29.579,0.367,0.609
Sinusoid,1-Recover,47.460,29.552,0.34,0.463
Sinusoid,1-Recover,47.660,29.524,0.312,0.463
Sinusoid,1-Recover,47.860,29.496,0.284,0.438
Sinusoid,1-Recover,48.060,29.468,0.256,0.389
Sinusoid,1-Recover,48.260,29.44,0.228,0.292
Sinusoid,1-Recover,48.460,29.416,0.204,0.316
Sinusoid,1-Recover,48.660,29.393,0.181,0.292
Sinusoid,1-Recover,48.860,29.371,0.159,0.267
Sinusoid,1-Recover,49.060,29.349,0.137,0.267
Sinusoid,1-Recover,49.260,29.326,0.114,0.145
Sinusoid,1-Recover,49.460,29.308,0.096,0.120
Sinusoid,1-Recover,49.660,29.292,0.08,0.145
Sinusoid,1-Recover,49.860,29.278,0.066,0.072
Sinusoid,1-Recover,50.060,29.263,0.051,0.072
Sinusoid,1-Recover,50.260,29.249,0.037,0.072
Sinusoid,1-Recover,50.460,29.237,0.025,0.072
Sinusoid,1-Recover,50.660,29.23,0.018,0.072
Sinusoid,1-Recover,50.860,29.225,0.013,0.072
Sinusoid,1-Recover,51.060,29.22,0.008,0.072
Sinusoid,1-Recover,51.260,29.215,0.003,0.047
Sinusoid,1-Recover,51.460,29.212,0,-0.002
Sinusoid,2-Stretch,51.470,29.212,0,0.023
Sinusoid,2-Stretch,51.670,29.216,0.004,0.072
Sinusoid,2-Stretch,51.870,29.218,0.006,0.047
Sinusoid,2-Stretch,52.070,29.219,0.007,0.072
Sinusoid,2-Stretch,52.270,29.22,0.008,0.047
Sinusoid,2-Stretch,52.470,29.221,0.009,-0.002
Sinusoid,2-Stretch,52.670,29.222,0.01,0.047
Sinusoid,2-Stretch,52.870,29.223,0.011,0.072
Sinusoid,2-Stretch,53.070,29.224,0.012,0.072
Sinusoid,2-Stretch,53.270,29.225,0.013,0.072
Sinusoid,2-Stretch,53.470,29.227,0.015,0.072
Sinusoid,2-Stretch,53.670,29.228,0.016,0.072
Sinusoid,2-Stretch,53.870,29.229,0.017,0.072
Sinusoid,2-Stretch,54.070,29.23,0.018,0.072
Sinusoid,2-Stretch,54.270,29.231,0.019,0.072
Sinusoid,2-Stretch,54.470,29.233,0.021,0.072
Sinusoid,2-Stretch,54.670,29.234,0.022,0.072
Sinusoid,2-Stretch,54.870,29.235,0.023,0.072
Sinusoid,2-Stretch,55.070,29.236,0.024,0.072
Sinusoid,2-Stretch,55.270,29.237,0.025,0.072
Sinusoid,2-Stretch,55.470,29.237,0.025,0.072
Sinusoid,2-Stretch,55.670,29.244,0.032,0.072
Sinusoid,2-Stretch,55.870,29.247,0.035,0.072
Sinusoid,2-Stretch,56.070,29.251,0.039,0.072
Sinusoid,2-Stretch,56.270,29.255,0.043,0.072
Sinusoid,2-Stretch,56.470,29.258,0.046,0.072
Sinusoid,2-Stretch,56.670,29.261,0.049,0.072
Sinusoid,2-Stretch,56.870,29.265,0.053,0.072
Sinusoid,2-Stretch,57.070,29.268,0.056,0.120
Sinusoid,2-Stretch,57.270,29.272,0.06,0.096
Sinusoid,2-Stretch,57.470,29.275,0.063,0.120
Sinusoid,2-Stretch,57.670,29.278,0.066,0.169
Sinusoid,2-Stretch,57.870,29.282,0.07,0.072
Sinusoid,2-Stretch,58.070,29.285,0.073,0.145
Sinusoid,2-Stretch,58.270,29.289,0.077,0.145
Sinusoid,2-Stretch,58.470,29.292,0.08,0.096
Sinusoid,2-Stretch,58.670,29.295,0.083,0.169
Sinusoid,2-Stretch,58.870,29.299,0.087,0.096
Sinusoid,2-Stretch,59.070,29.303,0.091,0.120
Sinusoid,2-Stretch,59.270,29.306,0.094,0.169
Sinusoid,2-Stretch,59.470,29.308,0.096,0.072
Sinusoid,2-Stretch,59.670,29.316,0.104,0.145
Sinusoid,2-Stretch,59.870,29.321,0.109,0.218
Sinusoid,2-Stretch,60.070,29.327,0.115,0.194
Sinusoid,2-Stretch,60.270,29.332,0.12,0.267
Sinusoid,2-Stretch,60.470,29.337,0.125,0.243
Sinusoid,2-Stretch,60.670,29.343,0.131,0.267
Sinusoid,2-Stretch,60.870,29.348,0.136,0.243
Sinusoid,2-Stretch,61.070,29.354,0.142,0.267
Sinusoid,2-Stretch,61.270,29.359,0.147,0.267
Sinusoid,2-Stretch,61.470,29.364,0.152,0.267
Sinusoid,2-Stretch,61.670,29.369,0.157,0.267
Sinusoid,2-Stretch,61.870,29.375,0.163,0.267
Sinusoid,2-Stretch,62.070,29.38,0.168,0.267
Sinusoid,2-Stretch,62.270,29.385,0.173,0.292
Sinusoid,2-Stretch,62.470,29.39,0.178,0.292
Sinusoid,2-Stretch,62.670,29.396,0.184,0.267
Sinusoid,2-Stretch,62.870,29.401,0.189,0.340
Sinusoid,2-Stretch,63.070,29.407,0.195,0.292
Sinusoid,2-Stretch,63.270,29.412,0.2,0.292
Sinusoid,2-Stretch,63.470,29.416,0.204,0.365
Sinusoid,2-Stretch,63.670,29.425,0.213,0.292
Sinusoid,2-Stretch,63.870,29.432,0.22,0.316
Sinusoid,2-Stretch,64.070,29.438,0.226,0.365
Sinusoid,2-Stretch,64.270,29.445,0.233,0.414
Sinusoid,2-Stretch,64.470,29.452,0.24,0.438
Sinusoid,2-Stretch,64.670,29.459,0.247,0.438
Sinusoid,2-Stretch,64.870,29.465,0.253,0.438
Sinusoid,2-Stretch,65.070,29.472,0.26,0.438
Sinusoid,2-Stretch,65.270,29.479,0.267,0.438
Sinusoid,2-Stretch,65.470,29.486,0.274,0.438
Sinusoid,2-Stretch,65.670,29.492,0.28,0.414
Sinusoid,2-Stretch,65.870,29.499,0.287,0.438
Sinusoid,2-Stretch,66.070,29.506,0.294,0.438
Sinusoid,2-Stretch,66.270,29.513,0.301,0.463
Sinusoid,2-Stretch,66.470,29.519,0.307,0.438
Sinusoid,2-Stretch,66.670,29.526,0.314,0.463
Sinusoid,2-Stretch,66.870,29.533,0.321,0.463
Sinusoid,2-Stretch,67.070,29.54,0.328,0.463
Sinusoid,2-Stretch,67.270,29.547,0.335,0.463
Sinusoid,2-Stretch,67.470,29.552,0.34,0.463
Sinusoid,2-Stretch,67.670,29.561,0.349,0.536
Sinusoid,2-Stretch,67.870,29.569,0.357,0.536
Sinusoid,2-Stretch,68.070,29.576,0.364,0.634
Sinusoid,2-Stretch,68.270,29.584,0.372,0.560
Sinusoid,2-Stretch,68.470,29.591,0.379,0.634
Sinusoid,2-Stretch,68.670,29.599,0.387,0.609
Sinusoid,2-Stretch,68.870,29.606,0.394,0.560
Sinusoid,2-Stretch,69.070,29.614,0.402,0.634
Sinusoid,2-Stretch,69.270,29.621,0.409,0.585
Sinusoid,2-Stretch,69.470,29.629,0.417,0.634
Sinusoid,2-Stretch,69.670,29.636,0.424,0.634
Sinusoid,2-Stretch,69.870,29.644,0.432,0.634
Sinusoid,2-Stretch,70.070,29.651,0.439,0.658
Sinusoid,2-Stretch,70.270,29.659,0.447,0.658
Sinusoid,2-Stretch,70.470,29.666,0.454,0.658
Sinusoid,2-Stretch,70.670,29.674,0.462,0.658
Sinusoid,2-Stretch,70.870,29.681,0.469,0.658
Sinusoid,2-Stretch,71.070,29.689,0.477,0.707
Sinusoid,2-Stretch,71.270,29.696,0.484,0.829
Sinusoid,2-Stretch,71.470,29.702,0.49,0.756
Sinusoid,2-Stretch,71.670,29.712,0.5,0.829
Sinusoid,2-Stretch,71.870,29.719,0.507,0.805
Sinusoid,2-Stretch,72.070,29.727,0.515,0.707
Sinusoid,2-Stretch,72.270,29.734,0.522,0.829
Sinusoid,2-Stretch,72.470,29.742,0.53,0.780
Sinusoid,2-Stretch,72.670,29.749,0.537,0.780
Sinusoid,2-Stretch,72.870,29.756,0.544,0.829
Sinusoid,2-Stretch,73.070,29.764,0.552,0.829
Sinusoid,2-Stretch,73.270,29.772,0.56,0.829
Sinusoid,2-Stretch,73.470,29.779,0.567,0.829
Sinusoid,2-Stretch,73.670,29.786,0.574,0.829
Sinusoid,2-Stretch,73.870,29.794,0.582,0.829
Sinusoid,2-Stretch,74.070,29.801,0.589,0.805
Sinusoid,2-Stretch,74.270,29.809,0.597,0.854
Sinusoid,2-Stretch,74.470,29.816,0.604,0.878
Sinusoid,2-Stretch,74.670,29.824,0.612,0.854
Sinusoid,2-Stretch,74.870,29.831,0.619,0.902
Sinusoid,2-Stretch,75.070,29.839,0.627,0.878
Sinusoid,2-Stretch,75.270,29.846,0.634,0.854
Sinusoid,2-Stretch,75.470,29.852,0.64,0.854
Sinusoid,2-Stretch,75.670,29.861,0.649,0.854
Sinusoid,2-Stretch,75.870,29.868,0.656,0.854
Sinusoid,2-Stretch,76.070,29.874,0.662,0.854
Sinusoid,2-Stretch,76.270,29.881,0.669,0.854
Sinusoid,2-Stretch,76.470,29.888,0.676,0.878
Sinusoid,2-Stretch,76.670,29.894,0.682,0.902
Sinusoid,2-Stretch,76.870,29.901,0.689,0.951
Sinusoid,2-Stretch,77.070,29.908,0.696,0.854
Sinusoid,2-Stretch,77.270,29.915,0.703,0.927
Sinusoid,2-Stretch,77.470,29.921,0.709,0.927
Sinusoid,2-Stretch,77.670,29.928,0.716,0.878
Sinusoid,2-Stretch,77.870,29.935,0.723,0.976
Sinusoid,2-Stretch,78.070,29.942,0.73,0.976
Sinusoid,2-Stretch,78.270,29.948,0.736,1.025
Sinusoid,2-Stretch,78.470,29.955,0.743,1.049
Sinusoid,2-Stretch,78.670,29.962,0.75,1.049
Sinusoid,2-Stretch,78.870,29.968,0.756,1.049
Sinusoid,2-Stretch,79.070,29.975,0.763,1.049
Sinusoid,2-Stretch,79.270,29.982,0.77,1.049
Sinusoid,2-Stretch,79.470,29.987,0.775,1.049
Sinusoid,2-Stretch,79.670,29.995,0.783,1.049
Sinusoid,2-Stretch,79.870,30,0.788,1.049
Sinusoid,2-Stretch,80.070,30.006,0.794,1.049
Sinusoid,2-Stretch,80.270,30.011,0.799,1.049
Sinusoid,2-Stretch,80.470,30.016,0.804,1.122
Sinusoid,2-Stretch,80.670,30.021,0.809,1.073
Sinusoid,2-Stretch,80.870,30.027,0.815,1.073
Sinusoid,2-Stretch,81.070,30.032,0.82,1.147
Sinusoid,2-Stretch,81.270,30.037,0.825,1.073
Sinusoid,2-Stretch,81.470,30.043,0.831,1.098
Sinusoid,2-Stretch,81.670,30.048,0.836,1.122
Sinusoid,2-Stretch,81.870,30.053,0.841,1.049
Sinusoid,2-Stretch,82.070,30.059,0.847,1.147
Sinusoid,2-Stretch,82.270,30.064,0.852,1.122
Sinusoid,2-Stretch,82.470,30.069,0.857,1.171
Sinusoid,2-Stretch,82.670,30.075,0.863,1.220
Sinusoid,2-Stretch,82.870,30.08,0.868,1.220
Sinusoid,2-Stretch,83.070,30.085,0.873,1.244
Sinusoid,2-Stretch,83.270,30.09,0.878,1.220
Sinusoid,2-Stretch,83.470,30.095,0.883,1.244
Sinusoid,2-Stretch,83.670,30.101,0.889,1.244
Sinusoid,2-Stretch,83.870,30.105,0.893,1.244
Sinusoid,2-Stretch,84.070,30.108,0.896,1.244
Sinusoid,2-Stretch,84.270,30.111,0.899,1.244
Sinusoid,2-Stretch,84.470,30.115,0.903,1.244
Sinusoid,2-Stretch,84.670,30.118,0.906,1.244
Sinusoid,2-Stretch,84.870,30.122,0.91,1.244
Sinusoid,2-Stretch,85.070,30.125,0.913,1.244
Sinusoid,2-Stretch,85.270,30.129,0.917,1.244
Sinusoid,2-Stretch,85.470,30.132,0.92,1.244
Sinusoid,2-Stretch,85.670,30.136,0.924,1.244
Sinusoid,2-Stretch,85.870,30.139,0.927,1.293
Sinusoid,2-Stretch,86.070,30.142,0.93,1.244
Sinusoid,2-Stretch,86.270,30.146,0.934,1.269
Sinusoid,2-Stretch,86.470,30.149,0.937,1.318
Sinusoid,2-Stretch,86.670,30.153,0.941,1.244
Sinusoid,2-Stretch,86.870,30.156,0.944,1.318
Sinusoid,2-Stretch,87.070,30.159,0.947,1.318
Sinusoid,2-Stretch,87.270,30.163,0.951,1.244
Sinusoid,2-Stretch,87.470,30.165,0.953,1.342
Sinusoid,2-Stretch,87.670,30.17,0.958,1.269
Sinusoid,2-Stretch,87.870,30.171,0.959,1.269
Sinusoid,2-Stretch,88.070,30.172,0.96,1.318
Sinusoid,2-Stretch,88.270,30.173,0.961,1.244
Sinusoid,2-Stretch,88.470,30.175,0.963,1.318
Sinusoid,2-Stretch,88.670,30.176,0.964,1.269
Sinusoid,2-Stretch,88.870,30.177,0.965,1.244
Sinusoid,2-Stretch,89.070,30.178,0.966,1.318
Sinusoid,2-Stretch,89.270,30.179,0.967,1.244
Sinusoid,2-Stretch,89.470,30.18,0.968,1.293
Sinusoid,2-Stretch,89.670,30.182,0.97,1.293
Sinusoid,2-Stretch,89.870,30.182,0.97,1.244
Sinusoid,2-Stretch,90.070,30.184,0.972,1.318
Sinusoid,2-Stretch,90.270,30.185,0.973,1.269
Sinusoid,2-Stretch,90.470,30.186,0.974,1.244
Sinusoid,2-Stretch,90.670,30.187,0.975,1.342
Sinusoid,2-Stretch,90.870,30.188,0.976,1.244
Sinusoid,2-Stretch,91.070,30.19,0.978,1.269
Sinusoid,2-Stretch,91.270,30.191,0.979,1.293
Sinusoid,2-Stretch,91.470,30.191,0.979,1.269
Sinusoid,2-Recover,91.500,30.191,0.979,1.244
Sinusoid,2-Recover,91.700,30.183,0.971,1.269
Sinusoid,2-Recover,91.900,30.178,0.966,1.318
Sinusoid,2-Recover,92.100,30.173,0.961,1.244
Sinusoid,2-Recover,92.300,30.168,0.956,1.293
